"perceptual decision making" -- "attention"
"molecular layer deposition" -- "atomic layer deposition"
"thermometry" -- "thermoluminescence"
"solar thermal energy" -- "fluid mechanics"
"adpll" -- "cmos"
"biofabrication" -- "tissue engineering"
"random matrix" -- "machine learning"
"bees" -- "pollination"
"applied algorithms" -- "databases"
"international economics" -- "wage inequality"
"international economics" -- "macroeconomics"
"international economics" -- "economics of natural resources"
"maritime history" -- "early modern history"
"maritime history" -- "asian history"
"inżynieria środowiska" -- "beton"
"taste" -- "ingestive behavior"
"taste" -- "olfaction"
"formal political theory" -- "political economy"
"axonal transport" -- "cell biology"
"wood" -- "composites"
"women s history" -- "history of medicine"
"devolution" -- "peace processes"
"devolution" -- "uk politics"
"military studies" -- "medical"
"environmental research" -- "air pollution"
"particle therapy" -- "medical physics"
"radar target recognition" -- "kernel methods"
"sexuality" -- "reproductive health"
"sexuality" -- "gender"
"sexuality" -- "sex work"
"sexuality" -- "african literature"
"sexuality" -- "intimacy"
"sexuality" -- "gay men"
"sexuality" -- "criminal"
"sexuality" -- "lgbtq health"
"английский язык" -- "филология"
"networked control systems" -- "stochastic hybrid systems"
"networked control systems" -- "multi-agent systems"
"networked control systems" -- "event-triggered control"
"networked control systems" -- "distributed real-time systems"
"networked control systems" -- "hybrid dynamical systems"
"maternity care" -- "midwifery"
"maternity care" -- "systematic entomology"
"transportation infrastructure" -- "alternative fuels"
"human anatomy" -- "physiology"
"subduction" -- "geology"
"canadian history" -- "environmental history"
"cognitive radio" -- "probabilistic"
"cognitive radio" -- "sharing"
"cognitive radio" -- "dynamic spectrum access"
"cognitive radio" -- "ultrawideband"
"cognitive radio" -- "hetnets"
"cognitive radio" -- "wireless positioning"
"cognitive radio" -- "c-ran"
"cognitive radio" -- "radio resource allocation"
"cognitive radio" -- "software radio"
"cognitive radio" -- "cooperative communications"
"cognitive radio" -- "cooperative networks"
"cognitive radio" -- "wireless communications"
"cognitive radio" -- "radio wave propagation"
"cognitive radio" -- "global navigation satellite systems"
"cognitive radio" -- "interference alignment"
"cognitive radio" -- "spectrum sensing"
"cognitive radio" -- "multiuser mimo"
"cognitive radio" -- "software defined radio"
"ndt" -- "emat"
"ndt" -- "ultrasonic guided waves"
"ndt" -- "ultrasonics"
"ndt" -- "thermography"
"multisensory integration" -- "perception"
"multisensory integration" -- "sensorimotor systems"
"multisensory integration" -- "temporal processing"
"química supramolecular" -- "química de materiais"
"animal domestication" -- "zooarchaeology"
"social integration" -- "discapacidad intelectual"
"aspirin" -- "platelets"
"graphene" -- "graphene quantum dots"
"graphene" -- "boron nitride"
"graphene" -- "2d crystals"
"graphene" -- "tmds"
"graphene" -- "2d materials"
"graphene" -- "carbon-based materials"
