"dtn" -- "networks"
"intestinal stem cells" -- "cell death"
"intestinal stem cells" -- "necrotizing enterocolitis"
"reliability engineering" -- "physical asset management"
"reliability engineering" -- "collaborative engineering"
"reliability engineering" -- "complex system design"
"reliability engineering" -- "quality"
"health sciences" -- "public health"
"cbct" -- "orthodontics"
"cbct" -- "radyoloji"
"hypertrophic cardiomyopathy" -- "cardiovascular imaging"
"quantitative sociology" -- "ethnicity"
"economics of natural disasters" -- "energy"
"fiber sensors" -- "fiber lasers"
"fundamental movement skills" -- "physical activity"
"multi-core computing" -- "mobile computing"
"human neuroimaging" -- "neuroscience"
"implantology" -- "periodontology"
"machine design" -- "cad"
"geometry processing" -- "architectural geometry"
"geometry processing" -- "computer graphics"
"geometry processing" -- "mobility data mining"
"building energy modeling" -- "distributed generation"
"business rules" -- "artificial intelligence"
"topography" -- "photogrammetry"
"first amendment" -- "constitutional law"
"virtualization security" -- "cloud security"
"cuidados paliativos" -- "enfermería"
"zooarchaeology" -- "environmental archaeology"
"zooarchaeology" -- "human-animal relationships"
"zooarchaeology" -- "human paleoecology"
"zooarchaeology" -- "archaeozoology"
"zooarchaeology" -- "archaeology"
"zooarchaeology" -- "animal domestication"
"crisis intervention" -- "trauma"
"oil spill" -- "disasters"
"nanopartículas" -- "química organometálica"
"reading practices" -- "embodiment"
"synergies" -- "resource efficiency"
"heat treatment" -- "corrosion"
"algal biotechnology" -- "phycology"
"electrostatics" -- "dynamics"
"computer arithmetic" -- "fault-tolerant computing"
"computer arithmetic" -- "computer architecture"
"computer arithmetic" -- "residue number system"
"transaction costs" -- "property rights"
"transaction costs" -- "institutional economics"
"genetic toxicology" -- "human genetics"
"artistic research" -- "open source software"
"pavement design" -- "analysis"
"pavement design" -- "pavement rehabilitation"
"advanced manufacturing processes" -- "laser material processing"
"terradynamics" -- "robotics"
"experimental software engineering" -- "software engineering"
"weight bias" -- "body image"
"judaism" -- "film"
"speaker diarization" -- "speech recognition"
"aqueous two-phase systems" -- "microfluidics"
"lifelogging" -- "information retrieval"
"pavement engineering" -- "geotechnical engineering"
"pavement engineering" -- "pavement materials"
"pavement engineering" -- "infrastructure materials"
"pavement engineering" -- "warm mix asphalt"
"pavement engineering" -- "asphalt concrete"
"pavement engineering" -- "waste materials"
"pavement engineering" -- "asphalt technology"
"sustainable rural development" -- "assessment"
"maritime engineering" -- "naval architecture"
"diagnostics" -- "point of care"
"diagnostics" -- "microfluidics"
"diagnostics" -- "space technology"
"diagnostics" -- "prognostics"
"demand response" -- "smart grid"
"brand relationships" -- "branding"
"weather extremes" -- "business"
"cluster science" -- "physical chemistry"
"macroecology" -- "reef fish ecology"
"macroecology" -- "early vertebrates"
"macroecology" -- "biogeography"
"multiple imputation" -- "missing data"
"early years" -- "public health"
"mobile marketing" -- "customer relationship management"
"metal matrix composites" -- "corrosion"
"pattern mining" -- "data mining"
"restauración" -- "conservación"
"restauración" -- "arquitectura"
"joint attention" -- "cognition"
"cryo electron tomography" -- "structural biology"
"spontaneous brain activity" -- "attention"
"amo" -- "quantum optics"
"manycores" -- "code analysis"
"social commerce" -- "e-commerce"
"multimodal discourse analysis" -- "social semiotics"
"upper limb" -- "motor control"
"bifurcation analysis" -- "nonlinear dynamics"
"colloids" -- "environmental photochemistry"
"colloids" -- "interfacial phenomena"
"colloids" -- "bacterial motility"
"colloids" -- "fluid physics"
"colloids" -- "luminescent nanomaterials"
"colloids" -- "pulmonary drug delivery"
"colloids" -- "soft matter"
"colloids" -- "bio-based materials"
"colloids" -- "asphaltenes"
"colloids" -- "janus colloids"
"colloids" -- "interfacial engineering"
"colloids" -- "electrophoretic deposition"
"colloids" -- "lyotropic liquid crystals"
"colloids" -- "cellulose nanomaterials"
"colloids" -- "complex flows"
"colloids" -- "interfacial science"
"colloids" -- "interface science"
"colloids" -- "surfactant adsorption"
"colloids" -- "surfactants"
"colloids" -- "wetting"
"colloids" -- "emulsions"
"colloids" -- "binding"
"colloids" -- "graphene-based materials"
"colloids" -- "non-spherical particles"
"colloids" -- "film formation"
"colloids" -- "pathogen detection"
"colloids" -- "interfaces"
"colloids" -- "surface forces"
"colloids" -- "intermolecular"
"colloids" -- "fluidics"
"colloids" -- "biological tissue"
"colloids" -- "polymer networks"
"colloids" -- "monolayers"
"colloids" -- "biomedical materials"
"colloids" -- "cleaning"
"contact" -- "multibody dynamics"
"wireless sensor networks (wsns)" -- "vlsi"
"natural hazards" -- "disaster risk"
"natural hazards" -- "landslides"
"natural hazards" -- "geomorphology"
"neocortex" -- "electrophysiology"
"geografia regional" -- "geografia urbana"
"structural mechanics" -- "shell structures"
"structural mechanics" -- "computational mechanics"
"central america" -- "gangs"
"controlled polymerization" -- "polymer chemistry"
"graphs" -- "evolutionary games"
"graphs" -- "algorithms"
"quantum many body systems" -- "quantum information"
"historia política contemporánea" -- "ciencia"
"healthcare" -- "machine learning"
"insect biochemistry" -- "olfaction"
"theory of grammar" -- "cognition"
"equity" -- "diversity"
"participación ciudadana" -- "didáctica de las ciencias sociales"
"prognostics" -- "health management"
"prognostics" -- "condition based maintenance"
"prognostics" -- "phm"
"african cities" -- "urban planning"
"scalability" -- "distributed systems"
"neurological rehabilitation" -- "electrophysical agents"
"neurological rehabilitation" -- "stroke"
"geologic storage of co2" -- "reservoir engineering"
"intercultural studies" -- "applied linguistics"
"sti prevention" -- "hiv"
"sistemas inteligentes" -- "inteligencia artificial"
"sistemas inteligentes" -- "planejamento energético"
"data centers" -- "tcp"
"data centers" -- "cloud computing"
"geobotany" -- "community ecology"
"neurorehabilitation" -- "stroke"
"boiling heat transfer" -- "mass transfer"
"project evaluation" -- "conservation biology"
"fractal theory" -- "heat"
"digital vlsi" -- "computer architecture"
"swarm intelligence" -- "swarm robotics"
"swarm intelligence" -- "artificial intelligence"
"swarm intelligence" -- "machine consciousness"
"swarm intelligence" -- "molecular robotics"
"wide band gap semiconductors" -- "spintronics"
"root biology" -- "plant biology"
"critical discourse analysis" -- "discourse studies"
"critical discourse analysis" -- "discourse analysis"
"research" -- "cta"
"research" -- "education"
"development geography" -- "urban"
"american political institutions" -- "quantitative methods"
"bdnf" -- "depression"
"design optimisation" -- "computational mechanics"
"genotoxicology" -- "nanotoxicology"
"hrv" -- "sleep"
"structural cell biology" -- "biochemistry"
"heat flow" -- "hydrogeology"
"papua new guinea" -- "melanesia"
"papua new guinea" -- "anthropology"
"cellulosic biofuels" -- "bio-based products"
"cellulosic biofuels" -- "plant propagation"
"cellulosic biofuels" -- "bioenergy"
"engenharia química" -- "fluidização"
"engenharia química" -- "fenômenos de transporte"
"project finance" -- "mine closure"
"project finance" -- "infrastructure finance"
"project finance" -- "renewable energy"
"biophysical modeling" -- "mri physics"
"biophysical modeling" -- "biological physics"
"endodontology" -- "dentistry"
"comportamiento" -- "aprendizaje"
"comportamiento" -- "evolución"
"child language acquisition" -- "language development"
"flood basalts" -- "kimberlites"
"symbolic development" -- "writing"
"produits naturels" -- "polyketides"
"maritime economics" -- "ports"
"spectroelectrochemistry" -- "electrochemistry"
"spectroelectrochemistry" -- "eis"
"infrastructure design" -- "hydrology"
"integrated water management" -- "environmental flows"
"health decision making" -- "health informatics"
"spatio-temporal data analytics" -- "intelligent transportation systems"
"integrated quantum photonics" -- "quantum optics"
"crisis management" -- "public leadership"
"crisis management" -- "risk management"
"industrial design engineering" -- "mass customization"
"virtual reference services" -- "library instruction"
"facebook" -- "social media"
"biomedical informatics" -- "clinical informatics"
"biomedical informatics" -- "ehr"
"biomedical informatics" -- "imaging informatics"
"biomedical informatics" -- "nanoinformatics"
"biomedical informatics" -- "applied ontology"
"biomedical informatics" -- "translational informatics"
"biomedical informatics" -- "public health informatics"
"biomedical informatics" -- "games for health"
"biomedical informatics" -- "electronic health records"
"biomedical informatics" -- "health information exchange"
"biomedical informatics" -- "machine learning"
"biomedical informatics" -- "clinical research informatics"
"spacecraft attitude control" -- "nonlinear control"
"16s" -- "bioinformatics"
"computational plasma physics" -- "high performance computing"
