"dtn" -- "networks"
"intestinal stem cells" -- "cell death"
"intestinal stem cells" -- "necrotizing enterocolitis"
"semiconductor science" -- "technology"
"reliability engineering" -- "physical asset management"
"reliability engineering" -- "collaborative engineering"
"reliability engineering" -- "complex system design"
"reliability engineering" -- "quality"
"health sciences" -- "public health"
"cbct" -- "orthodontics"
"cbct" -- "radyoloji"
"hypertrophic cardiomyopathy" -- "cardiovascular imaging"
"fiber sensors" -- "fiber lasers"
"multi-core computing" -- "mobile computing"
"implantology" -- "periodontology"
"machine design" -- "cad"
"geometry processing" -- "architectural geometry"
"geometry processing" -- "computer graphics"
"geometry processing" -- "mobility data mining"
"building energy modeling" -- "distributed generation"
"business rules" -- "artificial intelligence"
"topography" -- "photogrammetry"
"first amendment" -- "constitutional law"
"virtualization security" -- "cloud security"
"cuidados paliativos" -- "enfermería"
"plant-insect interactions" -- "protease inhibitors"
"plant-insect interactions" -- "plant defense"
"plant-insect interactions" -- "chemical ecology"
"oil spill" -- "disasters"
"nanopartículas" -- "química organometálica"
"reading practices" -- "embodiment"
"affective neuroscience" -- "emotion"
"data warehousing" -- "multidimensional databases"
"data warehousing" -- "olap"
"data warehousing" -- "data mining"
"data warehousing" -- "etl"
"electrostatics" -- "dynamics"
"organic coatings" -- "materials"
"genetic toxicology" -- "human genetics"
"artistic research" -- "open source software"
"advanced manufacturing processes" -- "laser material processing"
"experimental software engineering" -- "software engineering"
"weight bias" -- "body image"
"judaism" -- "film"
"speaker diarization" -- "speech recognition"
"aqueous two-phase systems" -- "microfluidics"
"lifelogging" -- "information retrieval"
"pavement engineering" -- "geotechnical engineering"
"pavement engineering" -- "warm mix asphalt"
"pavement engineering" -- "infrastructure materials"
"pavement engineering" -- "pavement materials"
"pavement engineering" -- "asphalt concrete"
"pavement engineering" -- "waste materials"
"pavement engineering" -- "asphalt technology"
"sustainable rural development" -- "assessment"
"neurons" -- "astrocytes"
"neurons" -- "neurosciense"
"neurons" -- "axons"
"diagnostics" -- "point of care"
"diagnostics" -- "microfluidics"
"diagnostics" -- "space technology"
"diagnostics" -- "prognostics"
"demand response" -- "smart grid"
"brand relationships" -- "branding"
"cluster science" -- "physical chemistry"
"macroecology" -- "reef fish ecology"
"macroecology" -- "biogeography"
"multiple imputation" -- "missing data"
"early years" -- "public health"
"mobile marketing" -- "customer relationship management"
"metal matrix composites" -- "corrosion"
"pattern mining" -- "data mining"
"restauración" -- "conservación"
"restauración" -- "arquitectura"
"joint attention" -- "cognition"
"free space optics" -- "radio over fiber"
"spontaneous brain activity" -- "attention"
"amo" -- "quantum optics"
"manycores" -- "code analysis"
"multimodal discourse analysis" -- "social semiotics"
"upper limb" -- "motor control"
"bifurcation analysis" -- "nonlinear dynamics"
"colloids" -- "environmental photochemistry"
"colloids" -- "interfacial phenomena"
"colloids" -- "bacterial motility"
"colloids" -- "fluid physics"
"colloids" -- "pulmonary drug delivery"
"colloids" -- "soft matter"
"colloids" -- "bio-based materials"
"colloids" -- "asphaltenes"
"colloids" -- "surfactant adsorption"
"colloids" -- "interfacial engineering"
"colloids" -- "electrophoretic deposition"
"colloids" -- "complex flows"
"colloids" -- "cellulose nanomaterials"
"colloids" -- "interfacial science"
"colloids" -- "interface science"
"colloids" -- "surfactants"
"colloids" -- "wetting"
"colloids" -- "emulsions"
"colloids" -- "binding"
"colloids" -- "graphene-based materials"
"colloids" -- "non-spherical particles"
"colloids" -- "pathogen detection"
"colloids" -- "interfaces"
"colloids" -- "surface forces"
"colloids" -- "intermolecular"
"colloids" -- "fluidics"
"colloids" -- "biological tissue"
"colloids" -- "polymer networks"
"colloids" -- "monolayers"
"colloids" -- "biomedical materials"
"colloids" -- "cleaning"
"contact" -- "multibody dynamics"
"wireless sensor networks (wsns)" -- "vlsi"
"neocortex" -- "electrophysiology"
"tip-enhanced raman spectroscopy" -- "ters"
"geografia regional" -- "geografia urbana"
"structural mechanics" -- "shell structures"
"structural mechanics" -- "computational mechanics"
"central america" -- "gangs"
"controlled polymerization" -- "polymer chemistry"
"graphs" -- "algorithms"
"oxide tft" -- "coatings"
"theory of grammar" -- "cognition"
"equity" -- "diversity"
"participación ciudadana" -- "didáctica de las ciencias sociales"
"prognostics" -- "health management"
"prognostics" -- "condition based maintenance"
"prognostics" -- "phm"
"african cities" -- "urban planning"
"scalability" -- "distributed systems"
"neurological rehabilitation" -- "stroke"
"intercultural studies" -- "applied linguistics"
"sti prevention" -- "hiv"
"sistemas inteligentes" -- "inteligencia artificial"
"sistemas inteligentes" -- "planejamento energético"
"data centers" -- "tcp"
"data centers" -- "cloud computing"
"geobotany" -- "community ecology"
"neurorehabilitation" -- "stroke"
"boiling heat transfer" -- "mass transfer"
"triassic" -- "paleontology"
"digital vlsi" -- "computer architecture"
"swarm intelligence" -- "swarm robotics"
"swarm intelligence" -- "artificial intelligence"
"swarm intelligence" -- "molecular robotics"
"wide band gap semiconductors" -- "spintronics"
"root biology" -- "plant biology"
"critical discourse analysis" -- "discourse studies"
"critical discourse analysis" -- "discourse analysis"
"research" -- "education"
"development geography" -- "urban"
"american political institutions" -- "quantitative methods"
"bdnf" -- "depression"
"design optimisation" -- "computational mechanics"
"genotoxicology" -- "nanotoxicology"
"structural cell biology" -- "biochemistry"
"heat flow" -- "hydrogeology"
"papua new guinea" -- "melanesia"
"papua new guinea" -- "anthropology"
"cellulosic biofuels" -- "bio-based products"
"cellulosic biofuels" -- "plant propagation"
"cellulosic biofuels" -- "bioenergy"
"engenharia química" -- "fluidização"
"project finance" -- "mine closure"
"project finance" -- "renewable energy"
"biophysical modeling" -- "mri physics"
"biophysical modeling" -- "biological physics"
"endodontology" -- "dentistry"
"comportamiento" -- "aprendizaje"
"comportamiento" -- "evolución"
"child language acquisition" -- "language development"
"flood basalts" -- "kimberlites"
"symbolic development" -- "writing"
"produits naturels" -- "polyketides"
"spectroelectrochemistry" -- "electrochemistry"
"spectroelectrochemistry" -- "eis"
"integrated water management" -- "environmental flows"
"mathematical neuroscience" -- "dynamical systems"
"short-term memory" -- "perception"
"crisis management" -- "public leadership"
"crisis management" -- "risk management"
"industrial design engineering" -- "mass customization"
"virtual reference services" -- "library instruction"
"facebook" -- "social media"
"biomedical informatics" -- "clinical informatics"
"biomedical informatics" -- "ehr"
"biomedical informatics" -- "imaging informatics"
"biomedical informatics" -- "nanoinformatics"
"biomedical informatics" -- "applied ontology"
"biomedical informatics" -- "translational informatics"
"biomedical informatics" -- "public health informatics"
"biomedical informatics" -- "games for health"
"biomedical informatics" -- "electronic health records"
"biomedical informatics" -- "health information exchange"
"biomedical informatics" -- "machine learning"
"biomedical informatics" -- "clinical research informatics"
"spacecraft attitude control" -- "nonlinear control"
"16s" -- "bioinformatics"
"computational plasma physics" -- "high performance computing"
"didáctica de la lengua y la literatura" -- "literatura infantil y juvenil"
"uk politics" -- "devolution"
"uk politics" -- "urban regeneration"
"intracellular signalling" -- "type 2 diabetes"
"biomolecular engineering" -- "chemical"
"structural biochemistry" -- "nmr"
"software testing" -- "software reliability engineering"
"software testing" -- "web testing"
"software testing" -- "mutation testing"
"software testing" -- "specification languages"
"software testing" -- "software engineering"
"software testing" -- "automated software testing"
"community nutrition" -- "nutrition"
"community nutrition" -- "nutrition education"
"exercício" -- "cardiologia"
"public health education" -- "public health"
"molecular motors" -- "single molecule biophysics"
"molecular motors" -- "biophysics"
"molecular motors" -- "infectious disease diagnostics"
"genetic improvement" -- "genetic programming"
"video signal processing" -- "quality assessment"
"japan" -- "international relations"
"japan" -- "south korea"
"sexual abuse" -- "trauma"
"governance" -- "europeanisation"
"governance" -- "reformation"
"governance" -- "regulation"
"governance" -- "public administration"
"governance" -- "public service delivery"
"governance" -- "infrastructure planning"
"governance" -- "participation"
"governance" -- "strategic alignment"
"power system simulation" -- "control"
"zooarchaeology" -- "archaeozoology"
"zooarchaeology" -- "environmental archaeology"
"zooarchaeology" -- "archaeology"
"zooarchaeology" -- "animal domestication"
"relational databases" -- "pattern matching"
