"perceptual decision making" -- "attention"
"molecular layer deposition" -- "atomic layer deposition"
"thermometry" -- "thermoluminescence"
"solar thermal energy" -- "fluid mechanics"
"adpll" -- "cmos"
"biofabrication" -- "tissue engineering"
"digital fabrication" -- "mass customization"
"digital fabrication" -- "architecture"
"random matrix" -- "machine learning"
"bees" -- "pollination"
"applied algorithms" -- "databases"
"international economics" -- "macroeconomics"
"international economics" -- "economics of natural resources"
"maritime history" -- "early modern history"
"taste" -- "ingestive behavior"
"taste" -- "olfaction"
"formal political theory" -- "political economy"
"axonal transport" -- "cell biology"
"wood" -- "composites"
"women s history" -- "history of medicine"
"devolution" -- "peace processes"
"military studies" -- "medical"
"environmental research" -- "air pollution"
"particle therapy" -- "medical physics"
"sexuality" -- "reproductive health"
"sexuality" -- "gender"
"sexuality" -- "sex work"
"sexuality" -- "african literature"
"sexuality" -- "intimacy"
"sexuality" -- "gay men"
"sexuality" -- "criminal"
"sexuality" -- "lgbtq health"
"bacteriocins" -- "molecular genetics"
"networked control systems" -- "stochastic hybrid systems"
"networked control systems" -- "multi-agent systems"
"networked control systems" -- "event-triggered control"
"networked control systems" -- "distributed real-time systems"
"networked control systems" -- "hybrid dynamical systems"
"transportation infrastructure" -- "alternative fuels"
"human anatomy" -- "physiology"
"subduction" -- "geology"
"cognitive radio" -- "probabilistic"
"cognitive radio" -- "sharing"
"cognitive radio" -- "dynamic spectrum access"
"cognitive radio" -- "ultrawideband"
"cognitive radio" -- "hetnets"
"cognitive radio" -- "radio resource allocation"
"cognitive radio" -- "global navigation satellite systems"
"cognitive radio" -- "cooperative communications"
"cognitive radio" -- "cooperative networks"
"cognitive radio" -- "wireless communications"
"cognitive radio" -- "radio wave propagation"
"cognitive radio" -- "software radio"
"cognitive radio" -- "interference alignment"
"cognitive radio" -- "spectrum sensing"
"cognitive radio" -- "software defined radio"
"microbe-host interactions" -- "microbial ecology"
"multisensory integration" -- "perception"
"multisensory integration" -- "sensorimotor systems"
"multisensory integration" -- "temporal processing"
"animal domestication" -- "zooarchaeology"
"social integration" -- "discapacidad intelectual"
"graphene" -- "graphene quantum dots"
"graphene" -- "boron nitride"
"graphene" -- "2d crystals"
"graphene" -- "tmds"
"graphene" -- "finfet"
"graphene" -- "carbon-based materials"
"graphene" -- "anderson localization"
"graphene" -- "low-dimensional systems"
"graphene" -- "graphite"
"graphene" -- "field emission"
"graphene" -- "silicene"
"graphene" -- "electrical energy storage"
"graphene" -- "cnts"
"graphene" -- "sic"
"graphene" -- "fundamental"
"graphene" -- "tmd"
"graphene" -- "raman spectroscopy"
"graphene" -- "2d materials"
"graphene" -- "cnt"
"graphene" -- "field effect transistors"
"graphene" -- "electrical characterization"
